"activity_id","activity","nace_code","flag","cepa_crema_class"
31,"Manufacture and installation of energy storage technologies, equipment, and installation: specific equipment associated with renewable energy, such as compressed air storage power stations, sensitive heat storage systems, latent heat storage systems, hydrogen storage and power-to-gas, such as storage of wind power in the form of hydrogen or methane","43.99","v","13A"
32,"Manufacture and installation of energy storage technologies, equipment, and installation: other equipment for energy storage","27.20","v","13B"
32,"Manufacture and installation of energy storage technologies, equipment, and installation: other equipment for energy storage","33.20","v","13B"
32,"Manufacture and installation of energy storage technologies, equipment, and installation: other equipment for energy storage","43.99","v","13B"
33,"Manufacture of biofuels","10.41","v","13A"
33,"Manufacture of biofuels","20.14","v","13A"
33,"Manufacture of biofuels","20.59","v","13A"
34,"Manufacture of cleaner chemical products: lubricants, paints and varnishes, soil conditioners, detergents and soaps, fertilizers and insecticides, glues and other adhesives free of solvents; and cosmetics","20.2","v","3,4,6"
34,"Manufacture of cleaner chemical products: lubricants, paints and varnishes, soil conditioners, detergents and soaps, fertilizers and insecticides, glues and other adhesives free of solvents; and cosmetics","20.3","v","3,4,6"
34,"Manufacture of cleaner chemical products: lubricants, paints and varnishes, soil conditioners, detergents and soaps, fertilizers and insecticides, glues and other adhesives free of solvents; and cosmetics","20.41","v","3,4,6"
34,"Manufacture of cleaner chemical products: lubricants, paints and varnishes, soil conditioners, detergents and soaps, fertilizers and insecticides, glues and other adhesives free of solvents; and cosmetics","20.42","v","3,4,6"
34,"Manufacture of cleaner chemical products: lubricants, paints and varnishes, soil conditioners, detergents and soaps, fertilizers and insecticides, glues and other adhesives free of solvents; and cosmetics","20.52","v","3,4,6"
34,"Manufacture of cleaner chemical products: lubricants, paints and varnishes, soil conditioners, detergents and soaps, fertilizers and insecticides, glues and other adhesives free of solvents; and cosmetics","20.53","v","3,4,6"
34,"Manufacture of cleaner chemical products: lubricants, paints and varnishes, soil conditioners, detergents and soaps, fertilizers and insecticides, glues and other adhesives free of solvents; and cosmetics","20.15","v","3,4,6"
35,"Manufacture of goods for thermal and noise insulation mainly in buildings such as cork products, doors and windows with the highest insulation power, insulation materials for facades, roofs and other elements of buildings such as materials made of glass fibre, rock wool, cellulose, polymers and polyurethane and other products such as autoclave cellular concrete","16.10","v","5,13B"
35,"Manufacture of goods for thermal and noise insulation mainly in buildings such as cork products, doors and windows with the highest insulation power, insulation materials for facades, roofs and other elements of buildings such as materials made of glass fibre, rock wool, cellulose, polymers and polyurethane and other products such as autoclave cellular concrete","17.24","v","5,13B"
35,"Manufacture of goods for thermal and noise insulation mainly in buildings such as cork products, doors and windows with the highest insulation power, insulation materials for facades, roofs and other elements of buildings such as materials made of glass fibre, rock wool, cellulose, polymers and polyurethane and other products such as autoclave cellular concrete","20.16","v","5,13B"
35,"Manufacture of goods for thermal and noise insulation mainly in buildings such as cork products, doors and windows with the highest insulation power, insulation materials for facades, roofs and other elements of buildings such as materials made of glass fibre, rock wool, cellulose, polymers and polyurethane and other products such as autoclave cellular concrete","22.21","v","5,13B"
35,"Manufacture of goods for thermal and noise insulation mainly in buildings such as cork products, doors and windows with the highest insulation power, insulation materials for facades, roofs and other elements of buildings such as materials made of glass fibre, rock wool, cellulose, polymers and polyurethane and other products such as autoclave cellular concrete","22.23","v","5,13B"
35,"Manufacture of goods for thermal and noise insulation mainly in buildings such as cork products, doors and windows with the highest insulation power, insulation materials for facades, roofs and other elements of buildings such as materials made of glass fibre, rock wool, cellulose, polymers and polyurethane and other products such as autoclave cellular concrete","23.12","v","5,13B"
35,"Manufacture of goods for thermal and noise insulation mainly in buildings such as cork products, doors and windows with the highest insulation power, insulation materials for facades, roofs and other elements of buildings such as materials made of glass fibre, rock wool, cellulose, polymers and polyurethane and other products such as autoclave cellular concrete","23.14","v","5,13B"
35,"Manufacture of goods for thermal and noise insulation mainly in buildings such as cork products, doors and windows with the highest insulation power, insulation materials for facades, roofs and other elements of buildings such as materials made of glass fibre, rock wool, cellulose, polymers and polyurethane and other products such as autoclave cellular concrete","23.61","v","5,13B"
35,"Manufacture of goods for thermal and noise insulation mainly in buildings such as cork products, doors and windows with the highest insulation power, insulation materials for facades, roofs and other elements of buildings such as materials made of glass fibre, rock wool, cellulose, polymers and polyurethane and other products such as autoclave cellular concrete","23.62","v","5,13B"
35,"Manufacture of goods for thermal and noise insulation mainly in buildings such as cork products, doors and windows with the highest insulation power, insulation materials for facades, roofs and other elements of buildings such as materials made of glass fibre, rock wool, cellulose, polymers and polyurethane and other products such as autoclave cellular concrete","23.99","v","5,13B"
35,"Manufacture of goods for thermal and noise insulation mainly in buildings such as cork products, doors and windows with the highest insulation power, insulation materials for facades, roofs and other elements of buildings such as materials made of glass fibre, rock wool, cellulose, polymers and polyurethane and other products such as autoclave cellular concrete","24.33","v","5,13B"
36,"Manufacture of specific equipment  for energy management such as thermostats for heating and cooling regulation, thermostatic valves, heat pumps, condensing boilers and solar water heaters","25.21","v","13B"
36,"Manufacture of specific equipment  for energy management such as thermostats for heating and cooling regulation, thermostatic valves, heat pumps, condensing boilers and solar water heaters","26.11","v","13B"
36,"Manufacture of specific equipment  for energy management such as thermostats for heating and cooling regulation, thermostatic valves, heat pumps, condensing boilers and solar water heaters","26.51","v","13B"
36,"Manufacture of specific equipment  for energy management such as thermostats for heating and cooling regulation, thermostatic valves, heat pumps, condensing boilers and solar water heaters","27.52","v","13B"
36,"Manufacture of specific equipment  for energy management such as thermostats for heating and cooling regulation, thermostatic valves, heat pumps, condensing boilers and solar water heaters","28.14","v","13B"
36,"Manufacture of specific equipment  for energy management such as thermostats for heating and cooling regulation, thermostatic valves, heat pumps, condensing boilers and solar water heaters","28.25","v","13B"
37,"Manufacture of instruments and apparatus for measuring or detecting ionising radiations","26.51","v","7"
38,"Manufacture of discharge lamps such as low pressure lamps, compact fluorescent lamps, LED lighting bulb  and the most efficient domestic appliances","26.11","v","13B"
38,"Manufacture of discharge lamps such as low pressure lamps, compact fluorescent lamps, LED lighting bulb  and the most efficient domestic appliances","27.40","v","13B"
38,"Manufacture of discharge lamps such as low pressure lamps, compact fluorescent lamps, LED lighting bulb  and the most efficient domestic appliances","27.51","v","13B"
39,"Manufacture of equipment for materials recovery","28.22","v","11B,13C,14"
39,"Manufacture of equipment for materials recovery","28.29","v","11B,13C,14"
39,"Manufacture of equipment for materials recovery","28.41","v","11B,13C,14"
39,"Manufacture of equipment for materials recovery","28.49","v","11B,13C,14"
39,"Manufacture of equipment for materials recovery","28.9","v","11B,13C,14"
40,"Maintenance, repair and installation activities for environmental goods; installation of heat pumps","33.1","v","1,2,3,4,5,6,7,8,9,10,11A,11B,12,13A,13B,13C,14,15,16"
40,"Maintenance, repair and installation activities for environmental goods; installation of heat pumps","33.2","v","1,2,3,4,5,6,7,8,9,10,11A,11B,12,13A,13B,13C,14,15,16"
40,"Maintenance, repair and installation activities for environmental goods; installation of heat pumps","43.22","v","1,2,3,4,5,6,7,8,9,10,11A,11B,12,13A,13B,13C,14,15,16"
41,"Production of electricity, gas and heat from renewable sources excluding pumped-storage hydropower (PSHP) generation and combined heat plants generation from non-biodegradable waste: wind, solar, hydropower, ocean energy and ocean biomass","35.11","v","13A"
41,"Production of electricity, gas and heat from renewable sources excluding pumped-storage hydropower (PSHP) generation and combined heat plants generation from non-biodegradable waste: wind, solar, hydropower, ocean energy and ocean biomass","35.21","v","13A"
41,"Production of electricity, gas and heat from renewable sources excluding pumped-storage hydropower (PSHP) generation and combined heat plants generation from non-biodegradable waste: wind, solar, hydropower, ocean energy and ocean biomass","35.30","v","13A"
42,"Electricity generation by PSHP, including installation and manufacturing of equipment","35.11","v","13B"
43,"Manufacture and installation of equipment for combined heat plants","25.30","v","13B"
43,"Manufacture and installation of equipment for combined heat plants","28.11","v","13B"
43,"Manufacture and installation of equipment for combined heat plants","42.22","v","13B"
44,"Desalination of water and collection of rainwater","36","v","10"
45,"Maintenance of water mains for reducing water losses","36","v","10"
46,"Sewerage services, such as collecting, transporting and treating wastewater; and operation, maintenance and cleaning of sewer systems","37","h","2"
47,"Collection, treatment and disposal of waste, both non-hazardous and hazardous without recovery","38.1","v","3"
47,"Collection, treatment and disposal of waste, both non-hazardous and hazardous without recovery","38.2","v","3"
48,"Energy recovery from waste incineration","38.21","v","2,13A,13B"
49,"Nuclear waste treatment and disposal services","38.22","v","7"
