id,lat,lon
29297,47.89908,-3.53359
29298,47.918016,-4.323665
29299,48.496673,-4.602865
29300,47.894813,-3.640982
29301,48.608491,-4.088733
29302,48.254648,-4.089783
35001,48.133532,-1.534079
35002,48.005139,-1.475983
35003,48.293594,-1.590364
35004,48.459684,-1.482598
35005,47.927301,-1.302766
35006,48.057164,-1.148173
35007,48.2945286,-1.6334631
35008,47.960964,-1.195518
35009,48.525249,-1.774257
35010,48.553061,-1.699224
35012,47.842841,-1.683124
35013,47.7066001892,-2.07161998749
35014,48.010775,-1.290052
35015,48.168289,-1.193052
35016,47.985042,-1.932352
35017,48.313054,-1.898137
35018,48.443477,-1.104904
35019,48.427486,-1.574981
35021,48.338133,-1.156757
35022,48.296583,-1.945717
35023,48.179796,-1.943373
35024,48.182901,-1.639844
35025,48.286301,-1.245506
35026,48.111498,-2.123914
35027,48.166524,-2.066844
35028,47.969966,-1.401937
35029,48.466878,-1.767145
35030,47.870075,-1.600973
35031,48.183951,-1.437499
35032,47.9936905,-1.612615
35033,47.927938,-1.739026
35034,48.513115,-1.660558
35035,47.950933,-1.976448
35037,48.048241,-1.864031
35038,48.104359,-1.062035
35039,48.110587,-1.4829
35040,48.145286,-1.899562
35041,47.951078,-1.539124
35042,48.007683,-1.089607
35044,48.473738,-1.650795
35045,47.8141302,-2.0247814
35046,47.888866,-2.041736
35047,48.024252,-1.746361
35049,48.6734243,-1.853119
35050,48.284664,-1.888693
35051,48.119506,-1.602911
35052,48.147551,-1.311461
35054,47.966178,-1.615898
35055,48.088426,-1.620389
35056,48.383782,-1.824592
35057,47.929768,-1.939774
35058,48.270995,-1.853392
35059,48.177068,-1.732709
35060,48.2135604,-1.9918547
35061,48.141336,-1.100479
35062,48.347543,-1.099741
35063,48.313624,-1.308505
35064,47.700983,-1.9346748
35065,48.1264762878,-1.8621070385
35066,48.040996,-1.707158
35067,48.2372016907,-1.56638002396
35068,48.109406,-1.405353
35069,48.0488071,-1.50324409
35070,48.56155,-1.92867
35071,48.415626,-1.254275
35072,48.22465,-1.179197
35075,48.3765573,-1.4616194
35076,48.0543079,-1.7832178
35077,47.8539757,-1.223366
35078,48.605226,-1.709343
35079,48.212093,-1.630503
35080,48.105851,-1.872632
35081,48.2151985168,-1.89271998405
35082,47.882277,-1.442775
35084,47.876768,-2.084245
35085,48.4098014832,-1.75198996067
35086,48.2739757,-1.2913047
35087,48.080276,-1.307321
35088,47.978993,-1.588107
35089,47.887211,-1.507035
35090,47.936305,-1.661008
35091,48.206699,-2.140521
35092,48.449683,-1.663998
35093,48.631554,-2.054845
35094,48.357121,-1.715655
35095,48.549907,-1.753557
35096,48.070397,-1.394757
35097,47.996126,-1.240443
35098,47.7621582,-1.6879873
35099,48.062014,-1.522057
35101,48.193337,-1.369693
35102,47.900483,-1.265403
35103,47.8224386,-1.2444762
35104,48.510286,-1.6978329
35105,48.099512,-1.125714
35106,47.829719,-1.560383
35107,48.2559888,-1.5170371
35108,47.959244,-1.422192
35109,48.059965,-1.193981
35110,48.328331,-1.640315
35111,48.491263,-1.293657
35112,48.336156,-1.126547
35113,48.466076,-1.504438
35114,47.861266,-1.280052
35115,48.35151,-1.204406
